"MFDP version 1a"
"Run: MEG"
"Megrim (L. whiffiagonis.) in Divisions VIIIc and IXa"
"Time and date: 09:07 26/04/2010"
"Fbar age range: 2-4"
""
""
2010
"Biomass","SSB","FMult","FBar","Landings"
"906","781","1.0000","0.1896","143"
""
""
2011,,,,,2012
"Biomass","SSB","FMult","FBar","Landings","Biomass","SSB"
"973","840","0.0000","0.0000","0","1213","1079"
".","840","0.1000","0.0190","17","1194","1060"
".","840","0.2000","0.0379","33","1175","1042"
".","840","0.3000","0.0569","49","1157","1024"
".","840","0.4000","0.0758","64","1139","1006"
".","840","0.5000","0.0948","79","1122","989"
".","840","0.6000","0.1138","94","1105","972"
".","840","0.7000","0.1327","108","1089","956"
".","840","0.8000","0.1517","122","1073","940"
".","840","0.9000","0.1707","136","1057","924"
".","840","1.0000","0.1896","149","1042","909"
".","840","1.1000","0.2086","162","1027","894"
".","840","1.2000","0.2275","175","1012","879"
".","840","1.3000","0.2465","187","998","865"
".","840","1.4000","0.2655","199","984","851"
".","840","1.5000","0.2844","211","971","838"
".","840","1.6000","0.3034","223","958","825"
".","840","1.7000","0.3224","234","945","812"
".","840","1.8000","0.3413","245","932","799"
".","840","1.9000","0.3603","256","920","787"
".","840","2.0000","0.3792","267","908","775"

"Input units are thousands and kg - output in tonnes"
